GameID,Transformer_Color,PGN,NumMoves,Result
21,White,1.d4 e6 2.c4 d5 3.Nc3 dxc4 4.e4 c5 5.Nf3 Nc6 6.Bd3 cxd4 7.Nxd4 Ne5 8.Nc6 Nxc6 9.e5 Bd7,10,*
22,Black,1.Nc3 e5 2.g3 Nc6 3.e4 Nf6 4.Bg2 Nd4 5.a3 d5 6.Nxd5 Nxd5 7.exd5 Qxd5 8.Bxd5,8,*
23,White,1.c4 c5 2.Nc3 Nc6 3.g3 Nh6 4.Bg2 g6 5.d3 Rb8 6.Nf3 Nf5 7.Qb3 Bg7 8.e4 Nfd4 9.Ne5 Nxe5,10,*
24,Black,1.d3 Nf6 2.e4 e6 3.c3 Nc6 4.a4 Ne5 5.f4 d5 6.fxe5,6,*
25,White,1.c4 e5 2.Nc3 Bc5 3.Nf3 Qe7 4.d3 Nc6 5.Bg5 f6 6.Bxf6 Qxf6,7,*
26,Black,1.g4 e5 2.c4 Nc6 3.Bg2 Bc5 4.Nc3 Nf6 5.e3 a6 6.h3 d6 7.Nge2 Ng4 8.hxg4 Bd7 9.Ng3 h6 10.Nge4,10,*
27,White,1.e4 e6 2.Nf3 Nf6 3.d4 Nxe4 4.d5 Be7 5.Ng5 Nxf2 6.Bf4 Bc5 7.a3 Qf6,8,*
28,Black,1.b3 g6 2.e4 Bg7 3.c3 e6 4.Nf3 d6 5.d4 c5 6.dxc5 dxc5+ 7.Qxd8+ Kxd8 8.Ng5,8,*
29,White,1.e4 e6 2.d4 d5 3.exd5 Qxd5 4.Be2 Bd7 5.Nf3 Nc6 6.Bd3 Nb4,7,*
30,Black,1.h3 d5 2.c3 c6 3.d3 d4 4.cxd4 Qxd4 5.e3 Nf6 6.Qc2 e5 7.exd4 exd4+ 8.Qb3 Bd7 9.Bd2 Ne4 10.h4 h6 11.g3 Ng5 12.Bg2,12,*
31,White,1.e4 d5 2.exd5 e6 3.Nc3 exd5 4.d3 Bb4 5.Be2 Ne7 6.Nf3 O-O 7.O-O Re8 8.Re1 Nf5 9.d4 h6 10.Nd5 Qxd5,11,*
32,Black,1.d3 d5 2.g3 Nf6 3.Nf3 b6 4.a4 Bb7 5.c3 e6 6.Bf4 Be7 7.Nbd2 Bb4 8.Bg2 Nxg4 9.cxb4 Nf6 10.b5 d4 11.Nc4 h5 12.Qc1,12,*
33,White,1.b3 c5 2.Bb2 Nc6 3.e3 e5 4.Nf3 f6 5.Nd4 exd4 6.e4 h5 7.Bb5 d6,8,*
34,Black,1.d3 d5 2.d4 c6 3.Nf3 Nd7 4.c3 e5 5.e4 dxe4 6.Ng5,6,*
35,White,1.f4 d5 2.c4 e5 3.d3 Bb4+ 4.Bd2 Bd6 5.Nf3 Nd7 6.Nxe5 Nxe5,7,*
36,Black,1.g4 d5 2.g5 Bf5 3.d4 c5 4.Nf3 Nc6 5.c4 e6 6.cxd5 exd5 7.Bf4 Nge7 8.Nc3 Bxg6 9.h4 Nf5 10.h5,10,*
37,White,1.e4 e5 2.Nf3 d5 3.Nc3 dxe4 4.Nxe4 Nc6 5.Bc4 Bg4 6.h3 Bh5 7.Ne5 Qd4 8.c3 Qxe5,9,*
38,Black,1.g3 e5 2.d4 Nc6 3.e3 f5 4.Nc3 Nf6 5.a3 d5 6.dxe5 Ke7 7.exf6+ Ke6 8.f4 a6 9.Nh3,9,*
39,White,1.c4 c5 2.d4 Qa5+ 3.Bd2 Qc7,4,*
40,Black,1.f4 e5 2.e4 d6 3.Nf3 h6 4.d4 d5 5.Nxe5,5,*
41,White,1.d4 Nf6 2.e4 d6 3.Nc3 a6 4.Bd3 g6 5.Nf3 Nc6 6.h3 e5,7,*
42,Black,1.a4 g6 2.e4 Bg7 3.Bc4 c6 4.Nf3 d6 5.d4 Nf6 6.Qe2 c5 7.Nc3 e5 8.dxc5 Bd7 9.cxd6,9,*
43,White,1.e4 d5 2.exd5 e5 3.Nc3 Bb4 4.Nf3 Nd7 5.d4 Bd6 6.Bf4 exf4 7.Nxh4 Qe7+,8,*
44,Black,1.f4 g6 2.e3 Bg7 3.Be2 d6 4.Nc3 Nf6 5.d4 c6 6.Bd2,6,*
45,White,1.e4 c5 2.Nf3 Nf6 3.Nc3 e6 4.Bb5 h6 5.Ba4 c4 6.d4 Be7 7.e5 Nd5 8.Nxd5 Qa5+,9,*
46,Black,1.Nf3 Nc6 2.e3 Nf6 3.Be2 e5 4.d3 d6 5.e4 Nxe4 6.dxe4,6,*
47,White,1.Nf3 c5 2.d3 Nf6 3.Nc3 e6 4.g3 Be7 5.Bg2 h6 6.e4 d6 7.h4 Bd7 8.Ke2 b5 9.Bf4 b4 10.Rc1 bxc3 11.e5 Nd5,12,*
48,Black,1.g3 e6 2.Bg2 d5 3.a3 Nc6 4.d4 Nf6 5.Nc3 Bd6 6.Nf3 e5 7.Bg5 h5 8.Nxe5 Bd7 9.Qd3 Rxh6 10.Nxd5 Nxd5+ 11.Bxd8,11,*
49,White,1.e4 c5 2.d4 cxd4 3.Nf3 Nc6 4.Nc3 dxc3 5.g3 e5,6,*
50,Black,1.Nf3 Nc6 2.e4 e5 3.c3 Nf6 4.d3 Bb4 5.cxb4 b6 6.Bd2 d6 7.b5 Nxd5 8.Nc3 Nc3 9.bxc3 f5 10.h3 a6 11.Bg5 Rg8 12.Be2 Nd4 13.h4,13,*
